threshold,f1,precision,recall,tp,fp,tn,fn
0.5900000000000001,0.4,0.5,0.3333333333333333,1,1,2,2
0.6000000000000001,0.4,0.5,0.3333333333333333,1,1,2,2
0.6100000000000001,0.4,0.5,0.3333333333333333,1,1,2,2
0.6200000000000001,0.4,0.5,0.3333333333333333,1,1,2,2
0.6300000000000001,0.4,0.5,0.3333333333333333,1,1,2,2
0.6400000000000001,0.0,0.0,0.0,0,1,2,3
0.6500000000000001,0.0,0.0,0.0,0,1,2,3
0.6600000000000001,0.0,0.0,0.0,0,1,2,3
0.6700000000000002,0.0,0.0,0.0,0,1,2,3
0.6800000000000002,0.0,0.0,0.0,0,1,2,3
0.6900000000000002,0.0,0.0,0.0,0,1,2,3
0.7000000000000002,0.0,0.0,0.0,0,1,2,3
0.7100000000000002,0.0,0.0,0.0,0,0,3,3
0.7200000000000001,0.0,0.0,0.0,0,0,3,3
0.7300000000000001,0.0,0.0,0.0,0,0,3,3
0.7400000000000001,0.0,0.0,0.0,0,0,3,3
0.7500000000000001,0.0,0.0,0.0,0,0,3,3
0.7600000000000001,0.0,0.0,0.0,0,0,3,3
0.7700000000000001,0.0,0.0,0.0,0,0,3,3
0.7800000000000001,0.0,0.0,0.0,0,0,3,3
0.7900000000000001,0.0,0.0,0.0,0,0,3,3
0.8000000000000002,0.0,0.0,0.0,0,0,3,3
0.8100000000000002,0.0,0.0,0.0,0,0,3,3
0.8200000000000002,0.0,0.0,0.0,0,0,3,3
0.8300000000000002,0.0,0.0,0.0,0,0,3,3
0.8400000000000002,0.0,0.0,0.0,0,0,3,3
0.8500000000000002,0.0,0.0,0.0,0,0,3,3
0.8600000000000002,0.0,0.0,0.0,0,0,3,3
0.8700000000000001,0.0,0.0,0.0,0,0,3,3
0.8800000000000001,0.0,0.0,0.0,0,0,3,3
0.8900000000000001,0.0,0.0,0.0,0,0,3,3
0.9000000000000001,0.0,0.0,0.0,0,0,3,3
0.9100000000000001,0.0,0.0,0.0,0,0,3,3
0.9200000000000002,0.0,0.0,0.0,0,0,3,3
0.9300000000000002,0.0,0.0,0.0,0,0,3,3
0.9400000000000002,0.0,0.0,0.0,0,0,3,3
0.9500000000000002,0.0,0.0,0.0,0,0,3,3
